Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Churn
Female,70,No,Yes,No,No,0,No,0,16,Offer D,Yes,Yes,Yes,DSL,Yes,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,54.1,No
Male,78,No,Yes,Yes,No,0,Yes,1,72,Offer A,No,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,64.8,No
Male,77,No,Yes,Yes,No,0,Yes,5,27,No Offer,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,84.8,No
Female,73,No,Yes,No,No,0,No,0,2,Offer E,Yes,No,Yes,Cable,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,44.3,No
Female,76,No,Yes,Yes,No,0,Yes,10,42,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,No,One Year,Yes,Bank Withdrawal,95.05,No
Male,78,No,Yes,Yes,No,0,Yes,7,33,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,109.9,No
Male,74,No,Yes,No,No,0,No,0,33,Offer C,No,No,Yes,Cable,No,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,54.6,No
Male,71,No,Yes,Yes,Yes,1,Yes,9,32,Offer C,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,No
Female,72,No,Yes,Yes,No,0,Yes,10,48,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,70.65,No
Female,75,No,Yes,Yes,No,0,Yes,5,55,No Offer,Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,51.65,No
Male,79,No,Yes,Yes,No,0,Yes,4,52,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,105.1,No
Female,76,No,Yes,No,No,0,No,0,49,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,101.55,No
Female,78,No,Yes,No,No,0,No,0,22,Offer D,Yes,No,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Mailed Check,69.75,No
Male,75,No,Yes,Yes,No,0,Yes,5,72,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,116.05,No
Male,66,No,Yes,Yes,No,0,Yes,2,64,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,102.1,No
Female,71,No,Yes,No,No,0,No,0,17,Offer D,Yes,No,No,No Internet,No,No,No,No,No,No,No,No,One Year,No,Mailed Check,20.65,No
Male,77,No,Yes,Yes,Yes,1,Yes,6,35,Offer C,Yes,No,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,76.05,No
Female,74,No,Yes,No,No,0,No,0,20,Offer D,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,81.45,No
Male,73,No,Yes,Yes,No,0,Yes,9,61,No Offer,Yes,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,64.05,No
Female,73,No,Yes,Yes,No,0,Yes,4,71,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Credit Card,80.7,No
Male,78,No,Yes,Yes,No,0,Yes,1,20,No Offer,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,One Year,No,Credit Card,94.3,No
Female,79,No,Yes,Yes,No,0,Yes,1,5,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,70.05,No
Male,77,No,Yes,Yes,No,0,Yes,1,29,Offer C,Yes,Yes,Yes,DSL,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,51.6,No
Male,77,No,Yes,Yes,Yes,1,Yes,1,72,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card,115.75,No
Female,80,No,Yes,No,No,0,No,0,56,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,99.9,No
Male,80,No,Yes,Yes,Yes,1,No,0,68,Offer A,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,No,No,One Year,Yes,Credit Card,107.15,No
Male,80,No,Yes,Yes,No,0,Yes,9,50,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,101.9,No
Male,74,No,Yes,No,No,0,No,0,47,No Offer,Yes,Yes,Yes,DSL,No,Yes,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,59.6,No
Female,76,No,Yes,Yes,No,0,Yes,6,28,Offer C,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,110.85,No
Male,68,No,Yes,Yes,No,0,Yes,3,35,Offer C,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,94.55,No
Female,71,No,Yes,No,No,0,No,0,44,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Credit Card,109.8,No
Female,69,No,Yes,No,No,0,No,0,66,Offer A,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,No,No,One Year,Yes,Credit Card,102.85,No
Male,73,No,Yes,Yes,Yes,3,Yes,1,10,No Offer,No,No,Yes,Cable,No,No,No,No,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,34.55,No
Female,74,No,Yes,Yes,No,0,Yes,7,66,Offer A,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,No,Credit Card,104.6,No
Female,72,No,Yes,No,No,0,No,0,72,Offer A,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,No,Bank Withdrawal,111.65,No
Female,70,No,Yes,No,No,0,No,0,49,No Offer,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,89.85,No
Male,74,No,Yes,No,No,0,No,0,24,Offer C,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,No,One Year,No,Credit Card,70.0,No
Male,80,No,Yes,No,No,0,No,0,65,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,110.35,No
Female,74,No,Yes,No,No,0,No,0,40,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Credit Card,103.75,No
Female,65,No,Yes,No,No,0,No,0,22,No Offer,Yes,No,No,No Internet,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,20.05,No
Male,72,No,Yes,Yes,Yes,1,Yes,1,47,No Offer,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,No,One Year,Yes,Bank Withdrawal,84.95,No
Male,76,No,Yes,No,No,0,No,0,27,Offer C,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.65,No
Male,75,No,Yes,Yes,No,0,Yes,7,68,Offer A,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,One Year,Yes,Credit Card,80.35,No
Male,70,No,Yes,Yes,No,0,Yes,1,9,No Offer,Yes,No,No,No Internet,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,21.25,No
Male,66,No,Yes,No,No,0,No,0,42,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,79.35,No
Female,68,No,Yes,Yes,No,0,No,0,72,Offer A,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,89.85,No
Female,69,No,Yes,Yes,No,0,Yes,8,72,Offer A,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Credit Card,110.8,No
Male,75,No,Yes,Yes,No,0,Yes,3,72,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,114.95,No
Female,74,No,Yes,No,No,0,No,0,3,Offer E,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,No,One Year,No,Credit Card,75.05,No
Female,72,No,Yes,Yes,No,0,Yes,4,70,Offer A,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Two Year,Yes,Credit Card,75.65,No
Male,65,No,Yes,No,No,0,No,0,5,Offer E,Yes,No,No,No Internet,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.05,No
Male,70,No,Yes,Yes,Yes,3,Yes,4,60,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,93.25,No
Male,65,No,Yes,No,No,0,No,0,26,Offer C,Yes,No,No,No Internet,No,No,No,No,No,No,No,No,One Year,No,Credit Card,19.3,No
Female,66,No,Yes,No,No,0,No,0,7,Offer E,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,No,One Year,Yes,Bank Withdrawal,84.35,No
Female,70,No,Yes,No,No,0,No,0,27,Offer C,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,110.5,No
Male,77,No,Yes,No,No,0,No,0,32,Offer C,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,One Year,Yes,Credit Card,81.1,No
Female,72,No,Yes,No,No,0,No,0,15,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,One Year,No,Credit Card,89.0,No
Female,67,No,Yes,No,No,0,No,0,23,No Offer,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,75.4,No
Female,77,No,Yes,No,No,0,No,0,22,No Offer,Yes,No,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,81.7,No
Female,73,No,Yes,Yes,No,0,Yes,10,4,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,83.25,No
Female,66,No,Yes,Yes,Yes,1,Yes,9,32,Offer C,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes,One Year,Yes,Credit Card,91.35,No
Male,80,No,Yes,Yes,No,0,Yes,10,7,Offer E,No,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,29.8,No
Male,76,No,Yes,Yes,No,0,Yes,9,8,Offer E,Yes,No,Yes,DSL,Yes,No,No,No,Yes,No,No,Yes,One Year,No,Bank Withdrawal,60.9,No
Female,80,No,Yes,No,No,0,No,0,56,No Offer,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes,Two Year,No,Bank Withdrawal,73.25,No
Female,69,No,Yes,Yes,No,0,Yes,1,53,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,One Year,Yes,Credit Card,95.85,No
Male,69,No,Yes,Yes,No,0,Yes,2,23,No Offer,Yes,No,No,No Internet,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,20.75,No
Female,73,No,Yes,No,No,0,No,0,5,Offer E,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,84.7,No
Female,67,No,Yes,Yes,No,0,Yes,5,45,No Offer,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,86.1,No
Female,69,No,Yes,Yes,No,0,Yes,2,60,No Offer,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,110.0,No
Female,80,No,Yes,Yes,No,0,Yes,5,72,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,112.4,No
Male,68,No,Yes,No,No,0,No,0,20,No Offer,Yes,No,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,One Year,No,Credit Card,54.0,No
Female,71,No,Yes,No,No,0,No,0,59,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Two Year,Yes,Credit Card,79.2,No
Male,74,No,Yes,Yes,No,0,Yes,6,46,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,98.85,No
Female,69,No,Yes,No,No,0,No,0,71,Offer A,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two Year,No,Credit Card,89.85,No
Male,70,No,Yes,No,No,0,No,0,47,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,One Year,Yes,Credit Card,86.05,No
Female,73,No,Yes,Yes,No,0,Yes,1,72,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,114.65,No
Male,73,No,Yes,Yes,No,0,Yes,8,14,No Offer,Yes,No,No,No Internet,No,No,No,No,No,No,No,No,One Year,No,Credit Card,19.65,No
Male,65,No,Yes,Yes,Yes,1,Yes,8,11,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,One Year,Yes,Credit Card,75.2,No
Female,65,No,Yes,Yes,No,0,Yes,5,62,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Credit Card,97.95,No
Female,67,No,Yes,Yes,No,0,Yes,1,23,No Offer,Yes,No,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,95.1,No
Female,72,No,Yes,Yes,No,0,Yes,1,71,Offer A,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,82.7,No
Male,68,No,Yes,No,No,0,No,0,70,Offer A,No,No,Yes,Cable,No,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Credit Card,44.05,No
Female,77,No,Yes,Yes,Yes,2,Yes,1,32,Offer C,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,100.4,No
Male,71,No,Yes,Yes,No,0,Yes,1,43,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,94.3,No
Female,75,No,Yes,No,No,0,No,0,71,Offer A,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,Two Year,No,Bank Withdrawal,104.05,No
Female,70,No,Yes,Yes,No,0,Yes,1,20,No Offer,Yes,No,Yes,DSL,No,Yes,No,No,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,60.0,No
Male,77,No,Yes,Yes,No,0,Yes,2,61,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,98.3,No
Male,76,No,Yes,Yes,No,0,Yes,6,23,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,No,One Year,Yes,Bank Withdrawal,90.45,No
Female,67,No,Yes,Yes,No,0,Yes,5,55,No Offer,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,88.8,No
Female,67,No,Yes,No,No,0,No,0,45,Offer B,No,No,Yes,Cable,No,No,No,No,No,Yes,No,No,One Year,No,Bank Withdrawal,34.2,No
Male,71,No,Yes,No,Yes,2,No,0,56,Offer B,Yes,No,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,No,Yes,One Year,No,Credit Card,94.8,No
Female,66,No,Yes,No,No,0,No,0,4,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,80.25,No
Male,75,No,Yes,Yes,No,0,Yes,5,49,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,88.2,No
Female,78,No,Yes,Yes,No,0,Yes,2,71,Offer A,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,99.4,No
Female,74,No,Yes,Yes,No,0,Yes,3,72,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,114.85,No
Male,75,No,Yes,Yes,No,0,Yes,3,72,Offer A,Yes,Yes,Yes,Cable,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,No,Credit Card,84.45,No
Female,71,No,Yes,No,No,0,No,0,20,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,One Year,No,Bank Withdrawal,80.7,No
Male,66,No,Yes,Yes,No,0,Yes,4,61,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,82.15,No
Male,79,No,Yes,No,No,0,No,0,29,Offer C,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,No,One Year,Yes,Bank Withdrawal,101.45,No
Female,69,No,Yes,No,No,0,No,0,18,No Offer,Yes,No,Yes,Cable,No,Yes,No,No,No,No,No,Yes,One Year,Yes,Credit Card,49.85,No
Male,70,No,Yes,Yes,No,0,Yes,7,71,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,92.0,No
Male,69,No,Yes,No,No,0,No,0,44,Offer B,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,No,One Year,No,Bank Withdrawal,73.85,No
Female,68,No,Yes,Yes,No,0,Yes,8,65,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Credit Card,109.4,No
Female,66,No,Yes,Yes,No,0,Yes,5,58,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,97.8,No
Female,67,No,Yes,No,No,0,No,0,6,Offer E,Yes,No,No,No Internet,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.5,No
Male,69,No,Yes,No,No,0,No,0,52,Offer B,No,No,Yes,DSL,Yes,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,48.8,No
Female,73,No,Yes,Yes,No,0,Yes,2,69,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,105.4,No
Female,74,No,Yes,No,No,0,No,0,13,No Offer,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,96.85,No
Female,70,No,Yes,Yes,No,0,Yes,6,71,No Offer,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,99.2,No
Female,73,No,Yes,Yes,No,0,No,0,66,No Offer,Yes,Yes,Yes,Cable,No,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,70.85,No
Male,79,No,Yes,Yes,No,0,Yes,9,64,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,94.25,No
Female,74,No,Yes,No,No,0,No,0,45,Offer B,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,102.15,No
Female,74,No,Yes,Yes,Yes,3,Yes,4,23,No Offer,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,88.45,No
Male,68,No,Yes,Yes,No,0,Yes,2,7,No Offer,Yes,Yes,Yes,Cable,Yes,Yes,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,64.2,No
Male,75,No,Yes,Yes,No,0,Yes,4,6,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,80.8,No
Male,77,No,Yes,No,No,0,No,0,4,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,69.35,No
Male,75,No,Yes,No,No,0,No,0,11,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Bank Withdrawal,111.4,No
Female,78,No,Yes,Yes,No,0,Yes,2,68,No Offer,Yes,No,Yes,DSL,No,Yes,Yes,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,60.65,No
Female,73,No,Yes,Yes,No,0,Yes,4,21,No Offer,Yes,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,No,No,One Year,No,Bank Withdrawal,71.7,No
Female,75,No,Yes,No,No,0,No,0,65,Offer B,No,No,Yes,Cable,No,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,53.5,No
Female,66,No,Yes,No,No,0,No,0,50,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,106.8,No
Female,67,No,Yes,No,No,0,No,0,7,No Offer,Yes,No,Yes,Cable,No,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,64.95,No
Male,67,No,Yes,Yes,Yes,2,Yes,4,72,No Offer,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card,104.1,No
Female,68,No,Yes,Yes,No,0,Yes,8,30,Offer C,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,90.05,No
Male,79,No,Yes,Yes,No,0,Yes,7,38,Offer C,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,102.6,No
Male,71,No,Yes,Yes,Yes,1,Yes,10,60,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,80.95,No
Female,69,No,Yes,Yes,No,0,Yes,4,65,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,108.8,No
Female,70,No,Yes,Yes,No,0,Yes,3,67,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,No,Yes,One Year,Yes,Credit Card,105.4,No
Male,72,No,Yes,No,Yes,1,No,0,7,No Offer,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Two Year,Yes,Credit Card,45.75,No
Male,71,No,Yes,Yes,No,0,No,0,27,Offer C,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,70.55,No
Female,68,No,Yes,Yes,No,0,Yes,4,55,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,90.45,No
Female,74,No,Yes,No,No,0,No,0,3,No Offer,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,73.85,No
Male,69,No,Yes,No,No,0,No,0,30,No Offer,Yes,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Credit Card,69.1,No
Female,76,No,Yes,No,No,0,No,0,2,No Offer,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,83.8,No
Female,79,No,Yes,No,No,0,No,0,17,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,94.2,No
Male,80,No,Yes,Yes,Yes,2,Yes,10,61,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,99.0,No
Male,75,No,Yes,No,No,0,No,0,52,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,110.75,No
Female,70,No,Yes,Yes,No,0,Yes,10,72,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,96.6,No
Female,76,No,Yes,No,No,0,No,0,44,No Offer,Yes,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,74.85,No
Male,67,No,Yes,No,No,0,No,0,65,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.05,No
Male,77,No,Yes,Yes,No,0,No,0,72,No Offer,Yes,Yes,No,No Internet,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,25.0,No
Male,80,No,Yes,Yes,No,0,Yes,2,60,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,104.35,No
Female,79,No,Yes,No,No,0,No,0,26,No Offer,Yes,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,66.05,No
Female,79,No,Yes,Yes,No,0,Yes,2,42,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,105.2,No
Female,66,No,Yes,No,No,0,No,0,23,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Two Year,Yes,Credit Card,79.35,No
Male,65,No,Yes,Yes,No,0,No,0,72,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,98.35,No
